t, accel, throttle
0.25, -0.19229614486231666, 0.39480106056979103, 
0.5, -0.9671438123258272, 0.39537442583312943, 
0.75, -0.32037235867746977, -0.2198188154801946, 
1.0, 0.3486978773570196, -0.3683909746980175, 
1.25, -0.9664075687600773, -0.031462488378552804, 
1.5, 0.5302255619421591, -0.3371991386478188, 
1.75, -0.6877681397106225, 0.14537869658042896, 
2.0, -0.6977203869434845, -0.3509009473484081, 
2.25, 0.04806609790947698, 0.08796746307190947, 
2.5, -0.9521452770869856, 0.17587416092147082, 
2.75, -0.764946215262584, -0.37262088951989103, 
3.0, -0.791570634444762, -0.0717024086065815, 
3.25, -0.349510513029864, 0.17215225116765007, 
3.5, 0.6343604974296917, 0.0008336433683176188, 
3.75, -0.4753436703277849, -0.2623671356711794, 
4.0, -0.8001637053940686, -0.12462435380555577, 
4.25, -0.9150525591498059, 0.10421032631196832, 
4.5, 0.8199185116841449, 0.14199250663773902, 
4.75, -0.9548061366470597, 0.06551383130667265, 
5.0, 0.2510324401717693, 0.1213813571090065, 
5.25, -0.8826609194366558, 0.25632174876480585, 
5.5, -0.44621474608878786, -0.23541623410454085, 
5.75, -0.7046200804004716, 0.25097070014871486, 
6.0, -0.31623548519274036, -0.39285981907289363, 
6.25, -0.5392707666617135, -0.14382658517564234, 
6.5, 0.4110600591188132, 0.07323766867581573, 
6.75, 0.6839664478976226, -0.28211159291108706, 
7.0, -0.6946642571802185, -0.15947313120592926, 
7.25, -0.13706749818517047, 0.20964782753344186, 
7.5, -0.8926112564074609, -0.2885048239462807, 
7.75, 0.8179809844733685, -0.3669469619757453, 
8.0, -0.757787627501969, 0.22649721767332667, 
8.25, -0.1653029623442323, -0.3385103299365794, 
8.5, -0.43113883693343447, -0.017003632686835798, 
8.75, 0.08364942948559403, -0.25850566244012524, 
9.0, 0.9436324060105202, 0.2383248589550108, 
9.25, -0.2699300839238648, -0.2150163550328199, 
9.5, 0.636095126179656, -0.20339285848467725, 
9.75, -0.7691406838362194, 0.31132276566480105, 
10.0, 0.8171854103992251, 0.3695399343282416, 
