t, accel, throttle
0.25, -0.12103569321626938, -0.3999551898378472, 
0.5, -0.12800124886681608, -0.39829917137071524, 
0.75, -0.9098473854934386, -0.3291679113515459, 
1.0, 0.5313281055772767, 0.3081862805210941, 
1.25, -0.6677779522404214, 0.24973447470357796, 
1.5, -0.31597643773044937, 0.2609044338930125, 
1.75, 0.4346421138253834, 0.2905339440710156, 
2.0, -0.7421478259895836, 0.22128719288039764, 
2.25, -0.40645367679313754, 0.01991608989489438, 
2.5, -0.5164527215862258, 0.09706976390723733, 
2.75, -0.15864336280407138, 0.07002602787592202, 
3.0, -0.1939593936986654, -0.2452778759352367, 
3.25, -0.8253543826558601, -0.07101288384541037, 
3.5, -0.8917927619186761, -0.09435092765430693, 
3.75, -0.9571347569226653, 0.18728157411197277, 
4.0, -0.5517626227971933, -0.0003894223205224961, 
4.25, -0.932113792164304, 0.07133769081816349, 
4.5, -0.13759915037604292, 0.01564089608641049, 
4.75, -0.4483925477538311, 0.28004998727917596, 
5.0, -0.5382142765779823, -0.0460894968170712, 
5.25, 0.9408150904052726, -0.1066546644920544, 
5.5, -0.7981146839479206, 0.20917644248837683, 
5.75, -0.5114513600411195, -0.31640062979360967, 
6.0, -0.7022348404346569, -0.24087791693036634, 
6.25, 0.2626404127775301, 0.2799835586942592, 
6.5, 0.43028378889431046, 0.03747548646088329, 
6.75, -0.6329805889893947, 0.13614430068401787, 
7.0, 0.3299314856970005, 0.002299748546791781, 
7.25, -0.8662770981821704, 0.3235406483291261, 
7.5, -0.2949301208560706, -0.0656583788449313, 
7.75, -0.4345213143643553, 0.08739961264250645, 
8.0, -0.9449415001714779, -0.2825538170240657, 
8.25, -0.45485945821326923, 0.22271765648016223, 
8.5, -0.0034338375866529297, 0.16517094039224248, 
8.75, 0.3657303283223918, 0.3710745946627355, 
9.0, 0.11551268789214082, -0.1002799444598773, 
9.25, -0.25852621304828055, 0.29572215233426974, 
9.5, 0.12856087437312086, -0.24294710179210594, 
9.75, -0.16326864226230228, -0.04396497248776515, 
10.0, 0.9412941684040769, -0.21597813825078527, 
