t, accel, throttle
0.25, 0.8855129480056068, -0.3992320003878871, 
0.5, 0.9334160704751854, -0.393035040041293, 
0.75, 0.8760995754852938, -0.3988184850721702, 
1.0, -0.16443920819128205, -0.389217043951737, 
1.25, 0.17968384937209428, -0.3971890749469729, 
1.5, 0.4745962662192658, -0.3829570284788727, 
1.75, 0.3613319520633163, -0.1860225465086363, 
2.0, -0.3651417290883806, 0.3381580102046095, 
2.25, 0.29626089888613505, 0.050467811537749645, 
2.5, 0.5481402978896144, -0.1787618651010793, 
2.75, 0.6376185485178142, 0.2941203401737588, 
3.0, 0.16422365040758252, 0.055064428636062916, 
3.25, -0.17864472487678376, 0.06385602723633378, 
3.5, -0.09434694253356975, 0.04794504721339161, 
3.75, 0.2965740977641849, 0.32971452597482975, 
4.0, -0.1099047600886495, 0.2166541715057507, 
4.25, -0.05073379838210523, 0.25872677745658257, 
4.5, -0.49694009307311593, -0.040963289689475435, 
4.75, -0.6806602218073923, 0.31268720763614344, 
5.0, 0.11921336031802553, 0.17724890455073217, 
5.25, -0.5817668917605838, 0.1534653642210303, 
5.5, 0.5159919873125582, 0.23008781057935643, 
5.75, 0.29565425988381333, 0.2140869826418703, 
6.0, -0.010774041526867641, 0.07296921952216184, 
6.25, 0.9593267427243106, -0.11149108497172952, 
6.5, 0.34540139896715105, 0.09976184380958003, 
6.75, -0.0695510079988543, 0.18712961840711745, 
7.0, 0.49794007073064994, -0.255737868365948, 
7.25, 0.08636121731611385, -0.11607486250404753, 
7.5, 0.4824278942806419, 0.280382926929884, 
7.75, -0.11430291270491741, -0.32750155754135996, 
8.0, -0.2091842405276044, 0.31995186665172215, 
8.25, -0.7859745192275076, 0.13011984521233116, 
8.5, 0.46400879813434964, 0.004854367670391921, 
8.75, -0.8833678959908362, 0.2758030465141247, 
9.0, -0.5860318296907969, 0.0846589402123899, 
9.25, 0.4460186986557621, 0.3893427340690023, 
9.5, -0.9204396513241493, 0.19244138848818199, 
9.75, 0.23883429782085255, 0.19192892405958523, 
10.0, -0.2297792622474449, -0.2770373372739734, 
