t, accel, throttle
0.25, 0.3079191047905359, -0.3821725235253365, 
0.5, 0.10382396802214253, 0.0801111028500195, 
0.75, 0.24604352560654608, -0.1764802301789942, 
1.0, 0.15697805627837358, -0.20293182326797798, 
1.25, -0.3067713364635382, -0.21645063483265162, 
1.5, 0.6500997571312275, -0.02761517423330455, 
1.75, 0.8648101786546333, -0.03093736792364364, 
2.0, 0.7705057045448818, -0.3337027889774236, 
2.25, -0.05104081238755148, -0.088903779525489, 
2.5, 0.6574217331008492, 0.2207738153541306, 
2.75, 0.12440003428600982, 0.11374771460724878, 
3.0, 0.6451742249455867, -0.0389544988263702, 
3.25, -0.6030643563611093, -0.25744765391786684, 
3.5, 0.5963088751888876, 0.24617147877596537, 
3.75, -0.2735001329728255, -0.09577756703639372, 
4.0, 0.4145160848612721, -0.06074920155422289, 
4.25, -0.5560238133392317, 0.26151276619415975, 
4.5, -0.3090636898626426, 0.288318810735829, 
4.75, 0.45358890788399375, 0.3153008967907918, 
5.0, 0.6315540190090205, 0.18552230833892858, 
5.25, 0.4765669135004559, -0.11110657537276634, 
5.5, 0.3553206524147075, 0.1648988055538185, 
5.75, -0.0530821589790719, -0.3547138720932428, 
6.0, -0.2652287645454148, -0.12768704989312474, 
6.25, 0.38321283982373805, -0.09690390649658055, 
6.5, 0.23857676954239962, 0.12420497316816848, 
6.75, 0.30637017917024423, 0.13374540005890787, 
7.0, 0.21618871854552513, 0.10158274989071694, 
7.25, 0.03437336740335831, 0.07323566217732919, 
7.5, -0.5174801232466215, 0.21875257626738406, 
7.75, 0.39232613547883816, -0.022347269084175808, 
8.0, -0.9384797914208121, 0.22521774341453774, 
8.25, 0.6081637201972042, 0.134248850635926, 
8.5, -0.4835894148666424, -0.0019473166433582635, 
8.75, -0.4241084522759926, 0.0010899233031640976, 
9.0, -0.6297023788534747, -0.3158855682467513, 
9.25, 0.33729962275420117, -0.20126174506627034, 
9.5, -0.1280502082908251, 0.2109941426812708, 
9.75, 0.4918906189496817, -0.023753453142727976, 
10.0, -0.07278342788228376, 0.3424274716334125, 
